time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-8.842951598880303e-07,2.109691697623302e-06,10.005606052991682,0.00036321493209179323,0.0002809547312558891,0.0,-5.6317561599708716e-05,0.00012113091668616446,0.18685560898113135,-0.007910058589405917,0.004729180494470343,0.0,463.7140262389612,464.0852745974052,463.69191091312666,463.07025858114883
0.12000000000000001,-1.63179963881191e-05,3.2306180897801566e-05,10.024737476398757,0.0035604655755623327,0.001153902715848254,0.0,-0.0005805868867284151,0.0012640728973763809,0.4507908645320289,0.01191527508316266,-0.004964487855474967,0.0,486.2388207836032,485.5121698361077,485.7924196044377,487.2765031722365
0.18,-9.890451674500214e-05,0.00018457793904528435,10.054563781381749,0.004612641725092459,0.007083317027483105,0.0,-0.0027994093557525196,0.003912348704424661,0.5433768597427999,0.01718913744666534,-0.0335271590567277,0.0,436.56032758142186,434.1709150037376,433.9580858195327,434.40037629377514
0.23999999999999996,-0.00044716841132760323,0.0005333940225053842,10.093074552975414,0.005918563265789878,0.009746098783742774,0.0,-0.009147535130419816,0.007860829702789226,0.7402049413914659,0.02185328797161375,-0.05844171946381434,0.0,468.4501927482807,466.50820469890874,466.25433605119326,466.6184634527848
0.3,-0.0011842559259419387,0.001160908790488322,10.139675621976513,0.016890631893567765,0.008070639905407795,0.0,-0.015273255949208392,0.014099120449409709,0.8131059937995282,0.05472283266170097,-0.07451376005756534,0.0,429.6442411090583,428.2764551236051,427.26236130191046,430.05573141887027
0.36000000000000004,-0.002267356147501047,0.002419287903453568,10.193599967668645,0.023678433078772265,0.004071734881650357,0.0,-0.020371862399642164,0.028586745503482797,0.9842289455846577,0.07406444257430951,-0.06809373356928053,0.0,460.1123789925276,460.61644648192737,458.1670193732916,459.7045755739983
0.4200000000000001,-0.0035421974145223127,0.004522887270926816,10.250744695187212,0.029115829160420326,0.00013836330587935208,0.0,-0.02181448524014127,0.04194993479223341,0.9206393202783272,0.08384870533065937,-0.06485440639046665,0.0,382.49595716619837,382.8001415791468,382.01490950172143,382.9524493699185
0.48000000000000015,-0.00483887035916658,0.007780940963758075,10.309599605188849,0.06077641593653116,6.279509731476079,0.0,-0.021005033522222622,0.06991712881839211,1.0409580225396649,0.13919006839781517,-0.06278065454708148,0.0,444.02139339510285,444.1884495356587,442.3243205139068,446.8673273920077
0.5400000000000001,-0.006022068444089843,0.013164025197155628,10.373437450991956,0.06912975324308324,6.277284292854048,0.0,-0.01823956296463223,0.11030105279744848,1.0868741448135681,0.13928305448577508,-0.07763423590020761,0.0,421.4207511545863,420.13126906545045,421.0736292636883,421.1008428588297
0.6000000000000002,-0.006997094943050523,0.021072330334973903,10.439200404431235,0.07795352929857202,6.274025103686929,0.0,-0.01395709196785255,0.15409448563299222,1.1051443825910892,0.1456621780102447,-0.06582297138855893,0.0,411.9991749869123,413.03733037982084,411.0183934247973,411.6036666221372
0.6600000000000003,-0.007670669803422531,0.03176878395500626,10.506021483630088,0.08744558365947785,6.274550509762523,0.0,-0.008565065940076501,0.2032952790123678,1.1221356466930958,0.15403830410008276,-0.0902272021616438,0.0,413.5427785081083,411.3829618147592,410.5049245676696,411.2700873158079
0.7200000000000003,-0.008005516371135318,0.04564928549183263,10.574201316443995,0.10444963720749367,6.269170578719642,0.0,-0.00210206061638593,0.26096649389502735,1.1503367831084175,0.12229472534537254,-0.08908565847970458,0.0,415.32101068423515,415.4137420083936,417.4695284069165,414.7116547011826
0.7800000000000004,-0.007807248696028258,0.06377480929155531,10.648805899284845,0.11179270564159882,6.269462979127201,0.0,0.008642356193401545,0.34403396882257337,1.3361823325896975,0.12253895578039874,-0.11632367831210512,0.0,467.71261650556255,465.57880388490344,465.4436054311746,465.47553161535456
0.8400000000000004,-0.006978666359972094,0.08675385186610858,10.73184051410442,0.12108890980356435,6.262476019452473,0.0,0.019685485111843797,0.42284102276859536,1.431391060206785,0.13665823435471872,-0.11825734374405837,0.0,438.9216679718794,438.7487183503008,437.98556800969374,439.17318009289846
0.9000000000000005,-0.005368750606738067,0.11457797237786202,10.8199969626737,0.12933107164576096,6.259344215597508,0.0,0.0343065484737456,0.5054228820450726,1.5069347838740703,0.13289564804630258,-0.09761595270521894,0.0,431.9831096159174,433.70867108142863,433.17350493838467,432.8744798756956
0.9600000000000005,-0.002800891770083807,0.14763375203712145,10.913157508426988,0.15101250412383482,6.254630056821359,0.0,0.051774580483091776,0.598553137351326,1.5979581362874373,0.1722700906563646,-0.08704466921336054,0.0,438.3036496493363,439.17362967949924,436.72113136439964,440.01315482775885
1.0200000000000005,0.0010007335623829956,0.18715886150169067,11.014675303635347,0.1668814362389197,6.24973686717745,0.0,0.07551199735767176,0.7207448751034701,1.7853419631807448,0.14527425632798185,-0.0818436287836097,0.0,468.9564588404573,469.35468645691356,470.74576949306635,468.67625659199706
1.0800000000000005,0.0062364181466699415,0.23394433948084936,11.12496881885126,0.17661999505311954,6.250659639426839,0.0,0.0989332371485389,0.8397348517513754,1.8907245996095465,0.13293355119241995,-0.056559220020867836,0.0,443.63790750881276,445.7047971168007,446.5500837682932,445.56082737344974
1.1400000000000006,0.012887213122441203,0.28817043126282504,11.242004388406558,0.19182354558665615,6.247702461070183,0.0,0.12307245272195351,0.9693012419636013,2.009901379447183,0.16120710734991062,-0.050424295296763726,0.0,451.0228754783213,451.51612622385204,448.8552336187798,451.16244014517514
